id;name;color
1;mostly;purple
2;necessary;green
3;besides;purple
4;as;mint green
5;but against;salmon
6;tricky forearm often;purple
7;rosin quaintly;teal
8;whose;sky blue
9;submissive;mint green
10;excepting;blue
11;beneath;yellow
12;rudely;white
13;ouch;teal
14;rudely yippee hm;black
15;outside;red
16;implode duh downright;lavender
17;first;plum
18;that pack;sky blue
19;through blindly;olive
20;er um now;violet
21;fundraising;teal
22;throughout gosh parody;yellow
23;despite;sky blue
24;provided;blue
25;so;turquoise
26;tightly wherever;mint green
27;as violently mesh;cyan
28;following dusk;silver
29;record demobilise;lime
30;within among ick;purple
