id;name;short_name
1;yum dimly suffocate;gosh
2;glaring;sweetly majestically who
3;mmm heroine;impact scheme
4;like;er except
5;vice wherever anti;foodstuffs
6;badly psst outside;procurement medium cruelly
7;promptly unto;enormously now
8;dead;excepting alongside blissfully
9;nor despite ugly;than filter
10;illiterate who;tempting insistent outfit
11;pro trustworthy tempting;bah
12;unless;cheap brr
13;clueless greedily;extremely youthfully
14;shakily searchingly pip;what unibody vainly
15;down sometimes unless;merrily within
16;fixed;make while unrealistic
17;curly wheel;furiously why
18;bogus collaborate;minister
19;rich;as although
20;boohoo;brr
21;now republican;worriedly
22;enormously instantly;mortally slime oh
23;unlike;unabashedly valentine amused
24;until yarmulke;destock vein
25;accelerator because;sweetly er
26;manner after;list
27;ha;ouch
28;even;who substitution ew
29;upwardly per minor;for aboard
30;mmm up if;subdued
