id;date;document_title;transaction_type;days;due_date;days_before_due;date_released;remarks;type_of_document_id;document_status_id
1;2026-08-06T23:45:18;urgently often than;NOT_APPLICABLE;13052;2026-08-06T19:58:46;13842;2026-08-06T22:51:11;curly;1;1
2;2026-08-06T09:00:42;normal;NOT_APPLICABLE;21826;2026-08-06T10:19:12;21420;2026-08-06T08:40:25;normal;2;2
3;2026-08-06T13:24:51;sun pushy;COMPLEX;26863;2026-08-07T07:14:37;3627;2026-08-07T07:20:42;capitalise sit through;3;3
4;2026-08-06T12:36:49;any;SIMPLE;16804;2026-08-06T08:29:55;25503;2026-08-07T03:19:05;cheerful;4;4
5;2026-08-06T14:26:05;assured geez behind;HIGHLY_TECHNICAL;4380;2026-08-06T22:58:59;21276;2026-08-06T11:32:44;instead gloom yippee;5;5
6;2026-08-07T03:58:09;exaggerate lest ignorant;HIGHLY_TECHNICAL;14413;2026-08-07T00:44:05;19923;2026-08-06T19:45:16;by;6;6
7;2026-08-06T21:23:12;delightfully abseil;HIGHLY_TECHNICAL;13709;2026-08-07T01:49:47;2214;2026-08-06T09:21:28;expense till pfft;7;7
8;2026-08-07T00:05:31;annex like;NOT_APPLICABLE;26616;2026-08-07T03:20:01;4422;2026-08-06T22:15:27;expert vice;8;8
9;2026-08-06T20:05:32;instance till;SIMPLE;7402;2026-08-06T19:02:24;17578;2026-08-06T22:13:18;mid pulp when;9;9
10;2026-08-07T00:00:12;and;SIMPLE;28514;2026-08-06T22:55:18;21109;2026-08-06T17:07:50;times manner;10;10
11;2026-08-06T09:06:40;phooey triangular;HIGHLY_TECHNICAL;23917;2026-08-07T03:43:40;26880;2026-08-06T22:24:58;deliberately ha oof;11;11
12;2026-08-07T04:45:18;duffel though;SIMPLE;32462;2026-08-06T13:31:44;10231;2026-08-06T10:14:45;joshingly energetically;12;12
13;2026-08-07T00:32:07;posh but ha;HIGHLY_TECHNICAL;14132;2026-08-07T00:42:17;598;2026-08-06T17:57:16;emboss brr;13;13
14;2026-08-06T22:48:27;optimistically never;SIMPLE;30755;2026-08-07T03:07:29;32435;2026-08-06T08:32:46;thrifty blah;14;14
15;2026-08-07T01:39:21;nauseate;SIMPLE;19031;2026-08-07T01:56:09;13990;2026-08-06T11:08:06;compete miserable;15;15
16;2026-08-06T22:21:43;commercial;COMPLEX;13092;2026-08-06T18:01:01;29735;2026-08-07T07:08:24;nerve unless;16;16
17;2026-08-06T11:54:58;but;SIMPLE;28264;2026-08-06T13:10:37;6462;2026-08-07T00:36:09;thoughtfully;17;17
18;2026-08-06T22:59:16;sermon atop;NOT_APPLICABLE;24803;2026-08-06T20:52:51;13119;2026-08-07T06:38:00;however tame juvenile;18;18
19;2026-08-06T17:18:49;necessary besides contrail;SIMPLE;32433;2026-08-06T22:10:26;23658;2026-08-06T15:50:17;resource upsell;19;19
20;2026-08-06T14:14:51;er;SIMPLE;648;2026-08-06T16:38:19;8805;2026-08-06T08:07:41;wherever;20;20
21;2026-08-07T02:19:40;because of;HIGHLY_TECHNICAL;10674;2026-08-06T12:46:33;22329;2026-08-06T15:39:06;generously eek provided;21;21
22;2026-08-07T04:27:20;abaft;SIMPLE;8286;2026-08-06T16:22:04;28557;2026-08-06T09:07:27;absent yowza throughout;22;22
23;2026-08-07T01:34:29;for gee next;NOT_APPLICABLE;2192;2026-08-06T20:01:34;26468;2026-08-07T00:24:27;cheese devise cellar;23;23
24;2026-08-07T06:11:10;account aw;COMPLEX;408;2026-08-06T23:33:33;23588;2026-08-06T16:55:39;ah buzzing animated;24;24
25;2026-08-06T15:13:58;intensely happily terrible;COMPLEX;7328;2026-08-06T10:42:55;28776;2026-08-06T19:32:33;once needily;25;25
26;2026-08-07T01:26:45;cleverly supposing;COMPLEX;25528;2026-08-07T05:08:04;15388;2026-08-06T22:04:52;supposing as doubter;26;26
27;2026-08-06T19:05:24;valuable;COMPLEX;22988;2026-08-06T11:10:52;25606;2026-08-06T22:11:37;puzzled punctuation;27;27
28;2026-08-06T19:27:11;ew;NOT_APPLICABLE;26995;2026-08-06T20:35:08;25487;2026-08-06T09:03:27;boo;28;28
29;2026-08-06T20:27:21;stable;NOT_APPLICABLE;20683;2026-08-06T22:49:59;13829;2026-08-07T06:40:02;uncomfortable drag frightfully;29;29
30;2026-08-06T12:33:08;knavishly sonnet;HIGHLY_TECHNICAL;17204;2026-08-06T20:19:35;7212;2026-08-06T10:05:37;quickly;30;30
